"Notes","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","15-24 years","15-24","2010","2010",50,678793,7.4
,"Alabama","01","15-24 years","15-24","2011","2011",54,681235,7.9
,"Alabama","01","15-24 years","15-24","2012","2012",46,676612,6.8
,"Alabama","01","15-24 years","15-24","2013","2013",52,676183,7.7
,"Alabama","01","15-24 years","15-24","2014","2014",45,671198,6.7
,"Alabama","01","15-24 years","15-24","2015","2015",54,663182,8.1
,"Alabama","01","15-24 years","15-24","2016","2016",63,653876,9.6
,"Alabama","01","15-24 years","15-24","2017","2017",56,648404,8.6
,"Alabama","01","15-24 years","15-24","2018","2018",63,640900,9.8
,"Alabama","01","15-24 years","15-24","2019","2019",60,635707,9.4
,"Alabama","01","15-24 years","15-24","2020","2020",71,633391,11.2
,"Alabama","01","25-34 years","25-34","2010","2010",66,608922,10.8
,"Alabama","01","25-34 years","25-34","2011","2011",59,614507,9.6
,"Alabama","01","25-34 years","25-34","2012","2012",61,617757,9.9
,"Alabama","01","25-34 years","25-34","2013","2013",72,620984,11.6
,"Alabama","01","25-34 years","25-34","2014","2014",63,626387,10.1
,"Alabama","01","25-34 years","25-34","2015","2015",76,632726,12.0
,"Alabama","01","25-34 years","25-34","2016","2016",74,637487,11.6
,"Alabama","01","25-34 years","25-34","2017","2017",67,640302,10.5
,"Alabama","01","25-34 years","25-34","2018","2018",83,643540,12.9
,"Alabama","01","25-34 years","25-34","2019","2019",71,647229,11.0
,"Alabama","01","25-34 years","25-34","2020","2020",87,650546,13.4
,"Alabama","01","35-44 years","35-44","2010","2010",75,619501,12.1
,"Alabama","01","35-44 years","35-44","2011","2011",61,608252,10.0
,"Alabama","01","35-44 years","35-44","2012","2012",85,606667,14.0
,"Alabama","01","35-44 years","35-44","2013","2013",64,607139,10.5
,"Alabama","01","35-44 years","35-44","2014","2014",86,605590,14.2
,"Alabama","01","35-44 years","35-44","2015","2015",86,602496,14.3
,"Alabama","01","35-44 years","35-44","2016","2016",78,595713,13.1
,"Alabama","01","35-44 years","35-44","2017","2017",87,591795,14.7
,"Alabama","01","35-44 years","35-44","2018","2018",87,592302,14.7
,"Alabama","01","35-44 years","35-44","2019","2019",87,593306,14.7
,"Alabama","01","35-44 years","35-44","2020","2020",86,596362,14.4
,"Alabama","01","45-54 years","45-54","2010","2010",96,693854,13.8
,"Alabama","01","45-54 years","45-54","2011","2011",91,685148,13.3
,"Alabama","01","45-54 years","45-54","2012","2012",105,673464,15.6
,"Alabama","01","45-54 years","45-54","2013","2013",99,664435,14.9
,"Alabama","01","45-54 years","45-54","2014","2014",96,656585,14.6
,"Alabama","01","45-54 years","45-54","2015","2015",90,649442,13.9
,"Alabama","01","45-54 years","45-54","2016","2016",100,644018,15.5
,"Alabama","01","45-54 years","45-54","2017","2017",92,636632,14.5
,"Alabama","01","45-54 years","45-54","2018","2018",83,627458,13.2
,"Alabama","01","45-54 years","45-54","2019","2019",86,616616,13.9
,"Alabama","01","45-54 years","45-54","2020","2020",68,608174,11.2
,"Alabama","01","55-64 years","55-64","2010","2010",73,588033,12.4
,"Alabama","01","55-64 years","55-64","2011","2011",88,610224,14.4
,"Alabama","01","55-64 years","55-64","2012","2012",84,615408,13.6
